identity_en	number	category	identity
the man	singular	male	мужчина
the child	singular	male	сынок
he	singular	male	он
the father	singular	male	отец
the father	singular	male	папа
the son	singular	male	сын
the boy	singular	male	мальчик
the male	singular	male	человек мужского пола
the brother	singular	male	брат
the uncle	singular	male	дядя
the young	singular	male	юноша
the young	singular	male	молодой парень
the husband	singular	male	муж
the gentleman	singular	male	джентельмен
the groom	singular	male	жених
the boyfriend	singular	male	ее парень
the boyfriend	singular	male	ее молодой человек
the woman	singular	female	женщина
the child	singular	female	дочурка
she	singular	female	она
the mother	singular	female	мать
the mother	singular	female	мама
the daughter	singular	female	дочь
the girl	singular	female	девочка
the female	singular	female	особа женского пола
the sister	singular	female	сестра
the aunt	singular	female	тетя
the young	singular	female	девушка
the wife	singular	female	жена
the lady	singular	female	леди
the bride	singular	female	невеста
girlfriend	singular	female	его девушка
the men	plural	male	мужчины
the children	plural	male	сыночки
the fathers	plural	male	отцы
the fathers	plural	male	папы
the boys	plural	male	мальчики
the males	plural	male	люди мужского пола
the brothers	plural	male	братья
the uncles	plural	male	дяди
the youngs	plural	male	юноши
the youngs	plural	male	молодые парни
the husbands	plural	male	мужья
the lords	plural	male	джентельмены
the spouses	plural	male	их избранники
the boyfriends	plural	male	их парни
the boyfriends	plural	male	их молодые люди
the women	plural	female	женщины
the girls	plural	female	девочки
the mothers	plural	female	матери
the mothers	plural	female	мамы
the children	plural	female	дочурки
the daughters	plural	female	дочери
the females	plural	female	люди женского рода
the sisters	plural	female	сестры
the aunts	plural	female	тети
the youngs	plural	female	девушки
the youngs	plural	female	молодые девушки
the wives	plural	female	жены
the ladies	plural	female	леди
the brides	plural	female	невесты
the girlfriends	plural	female	их девушки
the spouses	plural	female	их избранницы
